Occurrence_year,Homicide_Type,Neighbourhood,Lat,Long,postcode
234,2005,Shooting,Dovercourt-Wallace Emerson-Junction (93),43.659580,-79.448685,NOTAVAIL
235,2005,Other,Black Creek (24),43.773209,-79.521423,M3N 2S6
236,2005,Shooting,Humber Summit (21),43.772938,-79.543823,L4L 4S5
237,2005,Other,Roncesvalles (86),43.641029,-79.434517,M6K 1M1
238,2005,Other,Forest Hill North (102),43.707107,-79.426857,M6B 2Y8
239,2005,Shooting,Glenfield-Jane Heights (25),43.751858,-79.516693,M3N 1K8
240,2005,Shooting,Danforth (66),43.684525,-79.318222,NOTAVAIL
241,2005,Stabbing,Clanton Park (33),43.736111,-79.440086,M3H 1S8
242,2005,Other,Steeles (116),43.807217,-79.332146,M1W 2Y2
243,2006,Shooting,Briar Hill-Belgravia (108),43.696262,-79.447685,M6E 2H4
244,2006,Other,Bedford Park-Nortown (39),43.735184,-79.414925,M5M 3S1
245,2006,Shooting,Glenfield-Jane Heights (25),43.745068,-79.501755,M3L 1Y5
246,2006,Stabbing,L'Amoreaux (117),43.796703,-79.330383,M1W 2K7
247,2006,Stabbing,L'Amoreaux (117),43.796703,-79.330383,M1W 2K7
248,2006,Stabbing,L'Amoreaux (117),43.796703,-79.330383,M1W 2K7
249,2006,Stabbing,Flemingdon Park (44),43.716557,-79.337318,M3C 1V4
250,2006,Other,Taylor-Massey (61),43.692867,-79.292519,M4C 1M9
251,2006,Other,Highland Creek (134),43.792725,-79.174393,M1C 4Y1
252,2006,Shooting,Humbermede (22),43.747883,-79.545227,M9M 2A8
253,2006,Shooting,Scarborough Village (139),43.743183,-79.218910,M1M 2J1
254,2006,Shooting,North St.James Town (74),43.667297,-79.373779,M4X 1P8
255,2006,Shooting,Mount Dennis (115),43.687572,-79.490913,M6M 5C4
256,2006,Shooting,Glenfield-Jane Heights (25),43.748474,-79.507194,NOTAVAIL
257,2006,Other,Humber Summit (21),43.750652,-79.549072,M9M 2C7
258,2006,Stabbing,Downsview-Roding-CFB (26),43.729607,-79.471466,M3K 1V5
259,2006,Stabbing,Don Valley Village (47),43.780979,-79.344322,M2J 3E8
260,2006,Shooting,Flemingdon Park (44),43.719032,-79.328529,M3C 1C3
261,2006,Stabbing,New Toronto (18),43.601540,-79.508896,M8V 3Z2
262,2006,Stabbing,Danforth (66),43.683369,-79.323639,M4C 1H8
263,2006,Stabbing,Kensington-Chinatown (78),43.652268,-79.395721,M5T 2C2
264,2006,Other,Taylor-Massey (61),43.692589,-79.293724,M4C 1M1
265,2006,Other,Humewood-Cedarvale (106),43.686195,-79.420868,M6C 0A2
266,2006,Shooting,Woburn (137),43.760574,-79.215683,M1G 1H7
267,2006,Shooting,Weston (113),43.695644,-79.506584,M6M 5H6
268,2006,Stabbing,Downsview-Roding-CFB (26),43.742870,-79.486000,M3M 2W9
269,2006,Shooting,Rustic (28),43.716545,-79.502312,NOTAVAIL
270,2006,Stabbing,Mount Dennis (115),43.687923,-79.492020,M6M 5C4
271,2006,Stabbing,Downsview-Roding-CFB (26),43.719078,-79.508156,M3M 1V1
272,2006,Shooting,Malvern (132),43.802509,-79.224480,M1B 2P3
273,2006,Other,Church-Yonge Corridor (75),43.666706,-79.381363,M4Y 2C6
274,2006,Shooting,Waterfront Communities-The Island (77),43.647285,-79.368553,M5A 4B2
275,2006,Shooting,Junction Area (90),43.678902,-79.474075,NOTAVAIL
276,2006,Shooting,Alderwood (20),43.600853,-79.544861,M8W 3T7
277,2006,Shooting,Church-Yonge Corridor (75),43.654831,-79.376457,M5B 1Z2
278,2006,Shooting,Rouge (131),43.829815,-79.226456,M1X 1X4
279,2006,Shooting,Mount Dennis (115),43.687923,-79.492020,M6M 5C4
280,2006,Stabbing,West Humber-Clairville (1),43.732182,-79.592087,M9V 1N7
281,2006,Stabbing,O'Connor-Parkview (54),43.713806,-79.310623,M4B 3H1
282,2006,Shooting,O'Connor-Parkview (54),43.713806,-79.310623,M4B 3H1
283,2006,Other,Danforth (66),43.682278,-79.332718,M4J 1M3
284,2006,Other,Malvern (132),43.807804,-79.215599,M1B 3G5
285,2006,Other,South Parkdale (85),43.638737,-79.436607,M6K 1M3
286,2006,Stabbing,Bay Street Corridor (76),43.658512,-79.384895,M5G 1H1
287,2006,Stabbing,Bay Street Corridor (76),43.658512,-79.384895,M5G 1H1
288,2006,Shooting,L'Amoreaux (117),43.800652,-79.307068,NOTAVAIL
289,2006,Other,Woburn (137),43.770462,-79.240364,M1H 1H1
290,2006,Shooting,South Parkdale (85),43.638584,-79.429131,M6K 1A9
291,2006,Stabbing,Steeles (116),43.807369,-79.325638,M1W 2Y2
