Index;Lat;Long;Price;Address;Bedroom;Bathroom;TotalRoom;PriceFor2Room;Shortpostcode
220;43.669550;-79.383776;2000.0;50 Charles St E;1;1.0;2.0;2000.000000;M4Y
223;43.666752;-79.376235;4100.0;120 Homewood Ave;2;2.0;4.0;2050.000000;M4X
224;43.655069;-79.387470;1200.0;;1;1.0;2.0;1200.000000;M5G
230;43.655988;-79.358877;3200.0;52 Sumach St;1;1.0;2.0;3200.000000;M5A
231;43.641873;-79.381906;2400.0;12 York St;1;1.0;2.0;2400.000000;M5J
233;43.652757;-79.366511;2480.0;460 Adelaide St E;1;1.0;2.0;2480.000000;M5A
234;43.645809;-79.375682;3000.0;1 The Esplanade;1;1.0;2.0;3000.000000;M5E
235;43.644864;-79.399060;2250.0;560 King St W;1;1.0;2.0;2250.000000;M5V
240;43.645809;-79.375682;3400.0;1 The Esplanade;2;2.0;4.0;1700.000000;M5E
242;43.669451;-79.387470;2550.0;The Uptown Residences;1;1.0;2.0;2550.000000;M4W
245;43.638521;-79.399464;2300.0;70 Queens Wharf Rd;1;1.0;2.0;2300.000000;M5V
246;43.660846;-79.378756;2250.0;365 Church St;1;1.0;2.0;2250.000000;M5B
247;43.648573;-79.376275;1900.0;88 Scott St;1;1.0;2.0;1900.000000;M5E
250;43.653075;-79.370179;2000.0;255 Richmond St E;1;1.0;2.0;2000.000000;M5A
251;43.673994;-79.441685;1650.0;1512 Dufferin Street;1;1.0;2.0;1650.000000;M6H
252;43.641569;-79.424603;2889.0;170 Sudbury St;2;1.0;3.0;1926.000000;M6J
253;43.660605;-79.378635;2800.0;89 McGill St;2;2.0;4.0;1400.000000;M5B
258;43.640068;-79.399960;2400.0;70 Queens Wharf Rd;1;1.0;2.0;2400.000000;M5V
259;43.660605;-79.378635;2000.0;89 McGill St;1;1.0;2.0;2000.000000;M5B
260;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
261;43.660269;-79.382800;2450.0;424 Yonge Street;1;1.0;2.0;2450.000000;M4Y
262;43.660269;-79.382800;3450.0;424 Yonge Street;2;2.0;4.0;1725.000000;M4Y
263;43.659329;-79.382675;2350.0;386 Yonge St;1;1.0;2.0;2350.000000;M5B
268;43.653978;-79.354134;1900.0;120 Bayview Ave.;1;1.0;2.0;1900.000000;M5A
269;43.638700;-79.412183;2200.0;51 E Liberty St;1;1.0;2.0;2200.000000;M6K
271;43.646764;-79.392221;3200.0;;3;2.0;5.0;1280.000000;M5V
272;43.644174;-79.389421;2500.0;300 Front St W;1;1.0;2.0;2500.000000;M5V
273;43.607057;-79.494907;1200.0;k ;1;1.5;2.5;960.000000;M8V
274;43.645271;-79.376395;2600.0;;1;1.0;2.0;2600.000000;M5E
275;43.640604;-79.397188;1750.0;Iceboat Terr;1;1.0;2.0;1750.000000;M5V
276;43.669593;-79.380580;3575.0;101 Charles St E;2;2.0;4.0;1787.500000;M4Y
277;43.638317;-79.397795;3200.0;75 Queens Wharf Rd;2;1.0;3.0;2133.333333;M5V
279;43.660605;-79.378635;1850.0;89 McGill St;1;1.0;2.0;1850.000000;M5B
282;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
